Comment,Designator,Footprint,LCSC
"LED","D4,D3,D1,D2,D8,D7,D5,D6,D9,D10","LED_0805","C2293"
"1k","R4,R3,R2,R1,R8,R7,R6,R5,R9,R10,R11,R12,R13,R14,R15,R16,R18,R17","0805","C17513"

